iso3c,year,estimate,country,Births,PopChange,TPopulation1July,TPopulationFemale1July,TPopulationMale1July,NetMigrations,Deaths,InfantDeaths,Under5Deaths,stunting_estimate_who,stunting_estimate_who_low,stunting_estimate_who_high,anaemia_estimate_who,anaemia_estimate_who_low,anaemia_estimate_who_high
SUR,2018,77.4,Suriname,11.038,6.163,593.714,297.374,296.341,-0.862,4.013,0.184,0.206,8.1,7.2,9.1,24.1,9.1,44
SWZ,2014,64.9,Eswatini,32.147,7.778,1125.865,573.494,552.372,-10.586,13.79,1.502,2.029,26.3,24.2,28.5,32.5,20.4,43.8
TCA,2020,91.07,Turks and Caicos Islands,0.557,0.845,44.276,21.952,22.324,0.682,0.388,0.007,0.008,11.7,11.3,12.2,NA,NA,NA
TCD,2019,44.9,Chad,713.707,504.638,16126.866,8032.044,8094.822,-9.469,199.589,51.147,78.602,34.4,33.4,35.3,45.3,38.8,50.9
TGO,2017,52.4,Togo,264.363,193.22,7852.795,3908.948,3943.846,-1.997,69.148,13.085,18.543,25.1,23.3,27.1,54.2,48.7,58
THA,2019,92.9,Thailand,668.571,163.222,71307.763,36584.375,34723.388,3.758,509.091,5.168,6.14,12.3,11.2,13.4,32.2,15.4,47.6
TKM,2019,95,Turkmenistan,142.072,91.892,6158.42,3108.189,3050.231,-9.612,40.564,5.164,6.079,7.9,7.1,8.7,27.7,10.7,48.2
TLS,2016,53.2,Timor-Leste,33.157,18.676,1224.562,600.052,624.51,-5.475,9.012,1.278,1.586,48.8,47,50.7,35.8,26.5,44.5
TON,2019,78.6,Tonga,2.48,-0.155,104.951,52.956,51.994,-1.898,0.732,0.025,0.03,2.6,2.3,3,36.5,14,52.2
TTO,2011,91.3,Trinidad and Tobago,21.001,10.192,1420.02,719.388,700.632,-1.41,9.402,0.407,0.458,8.5,7.5,9.6,20,8,38.6
TUN,2018,82.3,Tunisia,211.807,118.669,11933.042,6023.338,5909.703,-21.013,72.123,3.064,3.644,8.8,7.8,9.8,30.5,14.1,46.3
TUR,2018,73.7,Türkiye,1366.595,684.765,82809.304,41271.565,41537.739,-261.813,420.022,12.555,14.806,6.5,5.8,7.3,34.1,26.6,41.4
TUV,2020,68.63,Tuvalu,0.262,0.142,11.069,5.367,5.702,-0.015,0.113,0.005,0.006,5.6,4.8,6.5,NA,NA,NA
UGA,2016,65,Uganda,1497.776,1374.756,38748.299,19617.063,19131.236,123.381,246.399,55.945,76.243,28.4,27.4,29.5,38.8,31.8,45.4
UKR,2012,89,Ukraine,517.911,-76.169,45406.226,24439.998,20966.229,68.84,662.913,4.036,5.239,18.2,11.5,27.5,21.9,9,39.5
URY,2013,86.8,Uruguay,48.044,10.353,3381.18,1749.192,1631.988,-5.655,32.041,0.415,0.48,8.7,8.2,9.2,24.8,8.3,47
UZB,2022,82.61,Uzbekistan,776.815,549.209,34627.652,17299.755,17327.897,-19.999,207.601,9.67,10.957,6.9,6.2,7.7,NA,NA,NA
VNM,2021,78.19,Viet Nam,1462.623,748.509,97468.028,49331.842,48136.186,-0.992,713.131,23.91,30.705,19.8,18.8,21,NA,NA,NA
WSM,2020,73.3,Samoa,5.952,3.741,214.929,105.296,109.634,-1.06,1.143,0.086,0.102,7,6.2,8,NA,NA,NA
ZWE,2019,70.8,Zimbabwe,484.906,301.237,15354.608,8122.618,7231.99,-59.918,123.744,18.038,25.641,23.1,21.4,25,31.7,20.6,42.9
