"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"Middle Africa"," 2004","53.7 [50.1-56.6]","1677 [1565-1767]"
"Middle Africa"," 2003","53.9 [50.1-56.8]","1635 [1520-1726]"
"Middle Africa"," 2002","54.0 [49.9-57.0]","1593 [1473-1684]"
"Middle Africa"," 2001","54.0 [49.7-57.2]","1550 [1429-1643]"
"Middle Africa"," 2000","54.0 [49.5-57.4]","1508 [1382-1604]"
"Southern Africa"," 2019","30.8 [18.7-42.6]","268 [162-370]"
"Southern Africa"," 2018","30.6 [19.5-41.5]","267 [170-362]"
"Southern Africa"," 2017","30.4 [20.0-40.5]","267 [175-355]"
"Southern Africa"," 2016","30.2 [20.4-39.7]","267 [180-350]"
"Southern Africa"," 2015","30.1 [20.8-39.0]","266 [184-345]"
"Southern Africa"," 2014","29.9 [20.9-38.7]","266 [185-343]"
"Southern Africa"," 2013","29.8 [20.8-38.3]","265 [185-341]"
"Southern Africa"," 2012","29.7 [20.7-38.4]","264 [184-341]"
"Southern Africa"," 2011","29.8 [20.6-38.8]","264 [183-344]"
"Southern Africa"," 2010","30.0 [20.8-39.3]","265 [184-347]"
"Southern Africa"," 2009","30.3 [20.9-39.7]","265 [183-347]"
"Southern Africa"," 2008","30.7 [21.1-40.2]","265 [182-348]"
"Southern Africa"," 2007","31.2 [21.5-41.0]","266 [183-349]"
"Southern Africa"," 2006","31.7 [21.7-41.5]","266 [182-348]"
"Southern Africa"," 2005","32.2 [22.0-42.2]","265 [181-347]"
"Southern Africa"," 2004","32.7 [22.1-42.8]","264 [179-346]"
"Southern Africa"," 2003","33.0 [22.2-43.4]","263 [177-345]"
"Southern Africa"," 2002","33.4 [22.1-44.0]","262 [173-345]"
"Southern Africa"," 2001","33.7 [22.0-44.6]","262 [170-346]"
"Southern Africa"," 2000","34.1 [21.9-45.2]","263 [169-348]"
"Western Africa"," 2019","55.1 [52.5-57.0]","5048 [4813-5226]"
"Western Africa"," 2018","55.3 [53.0-57.1]","4998 [4786-5159]"
"Western Africa"," 2017","55.5 [53.3-57.3]","4948 [4745-5106]"
"Western Africa"," 2016","55.8 [53.6-57.5]","4899 [4708-5051]"
"Western Africa"," 2015","56.0 [53.8-57.7]","4851 [4663-5004]"
"Western Africa"," 2014","56.2 [54.0-58.0]","4795 [4607-4951]"
"Western Africa"," 2013","56.3 [54.1-58.3]","4737 [4546-4897]"
"Western Africa"," 2012","56.5 [54.1-58.5]","4675 [4474-4838]"
"Western Africa"," 2011","56.7 [54.3-58.8]","4613 [4411-4780]"
"Western Africa"," 2010","57.0 [54.4-59.0]","4548 [4344-4713]"
"Western Africa"," 2009","57.2 [54.5-59.3]","4480 [4272-4643]"
"Western Africa"," 2008","57.4 [54.7-59.5]","4409 [4203-4572]"
