"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"Least Developed Countries (LDCs)"," 2018","44.1 [41.3-46.8]","8839 [8278-9381]"
"Least Developed Countries (LDCs)"," 2017","44.3 [41.8-46.8]","8773 [8268-9263]"
"Least Developed Countries (LDCs)"," 2016","44.5 [42.1-46.8]","8710 [8244-9156]"
"Least Developed Countries (LDCs)"," 2015","44.7 [42.4-46.8]","8651 [8222-9061]"
"Least Developed Countries (LDCs)"," 2014","44.8 [42.7-46.9]","8585 [8181-8973]"
"Least Developed Countries (LDCs)"," 2013","45.0 [43.0-47.0]","8527 [8136-8897]"
"Least Developed Countries (LDCs)"," 2012","45.3 [43.2-47.2]","8478 [8095-8835]"
"Least Developed Countries (LDCs)"," 2011","45.5 [43.5-47.4]","8434 [8056-8779]"
"Least Developed Countries (LDCs)"," 2010","45.9 [43.8-47.7]","8402 [8030-8741]"
"Least Developed Countries (LDCs)"," 2009","46.3 [44.2-48.2]","8378 [8007-8722]"
"Least Developed Countries (LDCs)"," 2008","46.7 [44.6-48.6]","8359 [7989-8705]"
"Least Developed Countries (LDCs)"," 2007","47.1 [45.0-49.0]","8340 [7970-8686]"
"Least Developed Countries (LDCs)"," 2006","47.5 [45.4-49.5]","8311 [7939-8663]"
"Least Developed Countries (LDCs)"," 2005","47.8 [45.6-49.8]","8271 [7892-8620]"
"Least Developed Countries (LDCs)"," 2004","48.1 [45.9-50.2]","8224 [7845-8582]"
"Least Developed Countries (LDCs)"," 2003","48.4 [46.2-50.5]","8160 [7787-8516]"
"Least Developed Countries (LDCs)"," 2002","48.6 [46.3-50.8]","8087 [7710-8462]"
"Least Developed Countries (LDCs)"," 2001","48.8 [46.4-51.1]","8012 [7623-8397]"
"Least Developed Countries (LDCs)"," 2000","49.0 [46.5-51.5]","7929 [7532-8333]"
"Small island developing States (SIDS)"," 2019","36.8 [31.1-42.6]","286 [242-331]"
"Small island developing States (SIDS)"," 2018","36.8 [31.5-42.3]","287 [246-331]"
"Small island developing States (SIDS)"," 2017","36.9 [31.8-42.1]","289 [249-330]"
"Small island developing States (SIDS)"," 2016","36.9 [32.1-41.9]","290 [252-330]"
"Small island developing States (SIDS)"," 2015","37.0 [32.3-41.8]","292 [255-330]"
"Small island developing States (SIDS)"," 2014","37.1 [32.4-41.8]","293 [256-330]"
"Small island developing States (SIDS)"," 2013","37.1 [32.6-41.7]","294 [258-330]"
"Small island developing States (SIDS)"," 2012","37.3 [32.7-41.7]","295 [259-330]"
"Small island developing States (SIDS)"," 2011","37.4 [32.9-41.8]","296 [261-331]"
"Small island developing States (SIDS)"," 2010","37.6 [33.1-42.1]","297 [262-333]"
"Small island developing States (SIDS)"," 2009","37.9 [33.4-42.3]","299 [263-334]"
"Small island developing States (SIDS)"," 2008","38.2 [33.7-42.6]","301 [266-336]"
"Small island developing States (SIDS)"," 2007","38.6 [34.2-43.0]","304 [269-339]"
"Small island developing States (SIDS)"," 2006","39.0 [34.4-43.4]","307 [271-341]"
"Small island developing States (SIDS)"," 2005","39.3 [34.8-43.7]","310 [274-344]"
"Small island developing States (SIDS)"," 2004","39.6 [35.0-44.1]","313 [276-348]"
"Small island developing States (SIDS)"," 2003","39.9 [35.1-44.4]","315 [277-351]"
"Small island developing States (SIDS)"," 2002","40.1 [35.3-44.7]","317 [279-354]"
"Small island developing States (SIDS)"," 2001","40.3 [35.5-45.0]","320 [282-357]"
"Small island developing States (SIDS)"," 2000","40.5 [35.6-45.3]","322 [283-361]"
